000 00E1207FF7FF 00000000 000007ff 000007ff 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
001 00E1E0001000 00000000 00000001 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffe 00000000
002 104100100000 00000000 00000100 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000fff 00000000
003 105100101000 00000000 00000101 00000000 00000000 00000006 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000fff 00000000
004 0B040200001F 00000000 00000000 0000001f 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000fff 00000000
005 0B050200001F 00000000 00000000 0000001f 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000fff 00000000
006 0FF00200000B 00000000 00000000 0000000b 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000fff 00000000
00B 01EE10004000 00000000 00000004 00000000 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000fff 00000007
00C 110E1A000000 00000000 00000000 00000000 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000007
00D 110E1F001000 00000000 00000001 00000000 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000007
00E 110E14002000 00000000 00000002 00000000 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000007
00F 110E15003000 00000000 00000003 00000000 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000007
010 090052000009 00000000 00000000 00000009 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000007
011 090452000009 00000000 00000000 00000009 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000007
012 014410001000 00000000 00000001 00000000 00000000 00000006 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000007
013 0FF00200000B 00000000 00000000 0000000b 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000007
00B 01EE10004000 00000000 00000004 00000000 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ffb 00000014
00C 110E1A000000 00000000 00000000 00000000 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
00D 110E1F001000 00000000 00000001 00000000 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
00E 110E14002000 00000000 00000002 00000000 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
00F 110E15003000 00000000 00000003 00000000 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
010 090052000009 00000000 00000000 00000009 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
011 090452000009 00000000 00000000 00000009 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
012 014410001000 00000000 00000001 00000000 00000000 00000005 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
013 0FF00200000B 00000000 00000000 0000000b 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
00B 01EE10004000 00000000 00000004 00000000 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff7 00000014
00C 110E1A000000 00000000 00000000 00000000 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
00D 110E1F001000 00000000 00000001 00000000 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
00E 110E14002000 00000000 00000002 00000000 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
00F 110E15003000 00000000 00000003 00000000 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
010 090052000009 00000000 00000000 00000009 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
011 090452000009 00000000 00000000 00000009 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
009 003100001000 00000000 00000001 00000000 00000000 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
00A 090002000019 00000000 00000000 00000019 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
019 105E10003000 00000000 00000003 00000000 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
01A 104E10002000 00000000 00000002 00000000 00000001 00000004 00000004 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000ff3 00000014
